"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"AI-Powered Diagnostic Support in Oncology: A Comparative Case Study of GPT-4 Omni and Gemini Advanced in Breast Cancer Detection","https://scispace.com/paper/ai-powered-diagnostic-support-in-oncology-a-comparative-case-feof2pw5zaw8","2025","Repository","","","10.5281/zenodo.14910374","","- **Relevance Score:** 48/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses GPT-4 Omni and Gemini Advanced for breast cancer detection, reports AUC and sensitivity, directly compares models, but includes no genomics data.","Abstract: This study evaluates the diagnostic efficacy of GPT-4 Omni and Gemini Advanced in early breast cancer detection using publicly available medical imaging data. The aim is to assess and compare these AI models’ diagnostic accuracy against established benchmarks, contributing to the enhancement of AI-powered tools in oncology. The Cancer Imaging Archive (TCIA) and the Kaggle Breast Cancer Dataset, both open-access, were utilized to evaluate the diagnostic performance of GPT-4 Omni and Gemini Advanced. Datasets include a range of breast cancer imaging modalities (mammograms, ultrasound, MRI). The study employs a case study approach, analyzing representative image samples, comparing AI-generated diagnoses with ground truth pathology labels and expert radiologist interpretations. Key performance metrics included sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV), and area under the receiver operating characteristic curve (AUC). Preliminary findings indicate that GPT-4 Omni achieved an AUC of 0.88 for mammogram-based detection, exceeding the performance of Gemini Advanced (AUC=0.82) in similar tasks. Conversely, Gemini Advanced demonstrated superior performance in detecting micro-metastases in ultrasound images, achieving a sensitivity of 90%. Error analysis revealed that GPT-4 Omni's performance was affected by dense breast tissue, while Gemini Advanced occasionally misclassified benign lesions as malignant. Both GPT-4 Omni and Gemini Advanced demonstrate significant potential for augmenting breast cancer diagnostics. This study highlights the need for model-specific benchmarking and tailored integration strategies for AI tools within radiology workflows to maximize diagnostic accuracy and minimize potential errors. Future research should focus on refining algorithms to address limitations identified, enhancing explainability, and exploring personalized risk assessment. These findings have implications for improving diagnostic accuracy, potentially reducing unnecessary biopsies, and ultimately enhancing patient outcomes in breast cancer screening and detection. Keywords: GPT-4 Omni, Gemini Advanced, Breast Cancer, Medical Imaging, Artificial Intelligence, Diagnostic Accuracy, Deep Learning, Mammography, Ultrasound, MRI, Failure Mode Analysis, Open-Access Data, TCIA Dataset, Kaggle Dataset "
"Artificial Intelligence Detection Scores in Screening Mammography for Early Breast Cancer Alerts.","https://scispace.com/paper/42262245","2026","Journal Article","Radiology","Hickman
Gialias
Schurz
Cossío
Choi
Tsirikoglou
Gustafsson
Zackrisson
Strand","10.1148/radiol.251309","","- **Relevance Score:** 48/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses AI CAD scores to flag cancers up to 10 years prior, reporting AUC and specificity; compares three commercial AI systems and density baseline; no genomics data included.","Background Artificial intelligence (AI)-based computer-aided detection (CAD) systems have demonstrated clinically significant performance in mammographic screening in both retrospective and prospective studies. However, the role of AI in early cancer detection requires further evaluation. Purpose To demonstrate how AI scores in individuals diagnosed with breast cancer may increase up to 10 years before their diagnosis, compared with individuals who remain cancer-free. Materials and Methods A retrospective study using the Validation of Artificial Intelligence for Breast Imaging (VAI-B) database, covering four regions in Sweden from January 2008 to April 2019, was carried out. For each individual, all mammographic examinations were included (maximum of 10 years before diagnosis in those who developed cancer). Upsampling was performed to provide a representative 1% cancer proportion. Three commercial AI CAD systems (AI-1, AI-2, and AI-3) provided raw examination-level AI scores, which were converted to rank-order percentile AI scores. Temporal changes in AI scores were analyzed, and receiver operating characteristic curve analyses were conducted. Results A total of 31 394 individuals (with 88 963 examinations) were included, of whom 12 072 (38.5%) were diagnosed with cancer. The median age at screening was 57.6 years (IQR, 48.9-65.2 years). At 90% specificity, the proportion of cancers potentially flagged by AI-1, AI-2, and AI-3 was 12.7%, 13.8%, and 17.0%, respectively, at 10 years before diagnosis; 19.0%, 19.6%, and 19.7%, respectively, at 6 years before diagnosis; and 24.2%, 23.3%, and 25.2%, respectively, at 4 years before diagnosis. For all time points combined, excluding screen detection, the area under the receiver operating characteristic curve (AUC) ranged from 0.63 to 0.67 for the three AI CAD systems, compared with an AUC of 0.57 for mammographic density as the predictor (all "
"AI in Cancer Detection: Early Identification of Esophageal and Skin Cancers in the United States","https://scispace.com/paper/ai-in-cancer-detection-early-identification-of-esophageal-iqgp1118be0e","2025","Journal Article","Scholars journal of applied medical sciences","Pramod Chaudhary","10.36347/sjams.2025.v13i02.040","","- **Relevance Score:** 48/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses AI to detect esophageal and skin cancers with high accuracy, but lacks AUC/sensitivity/specificity metrics. Integrates imaging, EHR, and genomics for esophageal cancer. Compares multiple ML models, though comparative results are not fully detailed.","Esophageal and skin cancers are among the most challenging malignancies, with early detection critical for improving survival rates and reducing healthcare costs. This paper explores the role of artificial intelligence (AI) in the early detection of these cancers in the United States, synthesizing methodologies from two key studies. For esophageal cancer, advanced machine learning techniques like Random Forest and XGBoost are employed to analyze multimodal data, including medical imaging, electronic health records (EHRs), and genomic profiles, achieving 92% accuracy in detecting early-stage cancer. For skin cancer, convolutional neural networks (CNNs) are used to analyze dermoscopic images, achieving an 87% accuracy in identifying malignant lesions. The study highlights the design and implementation of AI-driven models, covering data preprocessing, feature engineering, and evaluation metrics while addressing challenges such as class imbalance and overfitting. The results demonstrate AI's potential to enhance diagnostic accuracy, scalability, and accessibility, particularly in underserved areas. However, data privacy, algorithm interpretability, and regulatory compliance must be addressed to integrate AI into healthcare systems fully. This paper asserts that AI-driven diagnostics hold immense promise for revolutionizing cancer detection and calls for further research to overcome existing limitations while ensuring equitable access to these transformative technologies, ultimately improving patient outcomes and reshaping the landscape of cancer care. "
"Concordance of AI-Assisted and Hybrid AI-Assisted Cervical Imaging Systems with Visual Inspection with Acetic Acid for Cervical Precancer Screening in West Bandung, Indonesia.","https://scispace.com/paper/42038991","2026","Journal Article","International journal of women's health","Mantilidewi
Zenyda
Alhayat
Wardhana
Adzkia
Nabiylah
Zahran
Mukhayadi
Suardi
Agustian
Hidayat","10.2147/IJWH.S585614","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13102534/pdf","- **Relevance Score:** 48/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses AI cervical imaging to detect precancer, reports AUC, sensitivity, specificity; directly compares AI-assisted system with VIA. No genomics data integrated.","Cervical cancer remains a major cause of morbidity and mortality among women, particularly in low- and middle-income countries (LMICs) where screening access is limited. Visual Inspection with Acetic Acid (VIA) is widely used but subject to inter-observer variability. Artificial intelligence (AI)-assisted cervical imaging may improve standardization; however, real-world community evidence is limited."
"Evaluating Deep and Statistical Machine Learning Models in the Classification of Breast Cancer from Digital Mammograms","https://scispace.com/paper/evaluating-deep-and-statistical-machine-learning-models-in-4x1svbshjx","2021","Journal Article","International Journal of Advanced Computer Science and Applications","Amel Alhussan
Nagwan M. Abdel Samee
Vidan F. Ghoneim
Yasser M. Kadah","10.14569/IJACSA.2021.0121033","https://scispace.com/pdf/evaluating-deep-and-statistical-machine-learning-models-in-4x1svbshjx.pdf","- **Relevance Score:** 48/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses deep and statistical ML on mammograms, reports AUC/sensitivity/specificity; directly compares both methods. No integration of genomics or other imaging modalities.","The application of artificial intelligence techniques in computer aided detection and diagnosis problems has been among the most promising areas with interest from the scientific community and healthcare industry. Recently, deep learning has become the prime tool for such application with many studies focusing on developing variants that optimize diagnostic performance. Despite the widely accepted success of this class of techniques in this application by the scientific community, it is not prudent to consider it as the only tool available for such purpose. In particular, statistical machine learning offers a variety of techniques that can also be applied at a much lower computational cost. Unfortunately, the results from both strategies cannot be directly compared due to the differences in experimental setups and datasets used in available research studies. Therefore, we focus in this study on this direct comparison using the same dataset and similar data preprocessing as the input to both. We compare statistical machine learning to deep learning in the context of computer-aided detection of breast cancer from mammographic images. The results are compared using diagnostic performance metrics and suggest that simpler statistical machine learning techniques may provide better performance with simpler architectures that allow explanation of results."
"Improving Early Prostate Cancer Detection Through Artificial Intelligence: Evidence from a Systematic Review","https://scispace.com/paper/improving-early-prostate-cancer-detection-through-artificial-zrvp9wlyxw6d","2025","Journal Article","Cancers","Vincenzo Ciccone
Marina Garofano
Rosaria Del Sorbo
Francesco Negri
Roberta Buonocore
Francesca Salerno
Rosario Gnazzo
Gaetano Ungaro
Alessia Bramanti","10.3390/cancers17213503","","- **Relevance Score:** 42/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses AI to detect early prostate cancer, reporting AUC, sensitivity, specificity; lacks any imaging‑genomics fusion; includes AI vs radiologist comparisons across studies but not a direct head‑to‑head experiment.","Background: Prostate cancer is one of the most common malignancies in men and a leading cause of cancer-related mortality. Early detection is essential to ensure curative treatment and favorable outcomes, but traditional diagnostic approaches—such as serum prostate-specific antigen (PSA) testing, digital rectal examination (DRE), and histopathological confirmation following biopsy—are limited by suboptimal accuracy and variability. Multiparametric magnetic resonance imaging (mpMRI) has improved diagnostic performance but remains highly dependent on reader expertise. Artificial intelligence (AI) offers promising opportunities to enhance diagnostic accuracy, reproducibility, and efficiency in prostate cancer detection. Objective: To evaluate the diagnostic accuracy and reporting timeliness of AI-based technologies compared with conventional diagnostic methods in the early detection of prostate cancer. Methods: Following PRISMA 2020 guidelines, PubMed, Scopus, Web of Science, and Cochrane Library were searched for studies published between January 2015 and April 2025. Eligible designs included randomized controlled trials, cohort, case–control, and pilot studies applying AI-based technologies to early prostate cancer diagnosis. Data on AUC-ROC, sensitivity, specificity, predictive values, diagnostic odds ratio (DOR), and time-to-reporting were narratively synthesized due to heterogeneity. Risk of bias was assessed using the QUADAS-AI tool. Results: Twenty-three studies involving 23,270 patients were included. AI-based technologies achieved a median AUC-ROC of 0.88 (range 0.70–0.93), with median sensitivity and specificity of 0.86 and 0.83, respectively. Compared with radiologists, AI or AI-assisted readings improved or matched diagnostic accuracy, reduced inter-reader variability, and decreased reporting time by up to 56%. Conclusions: AI-based technologies show strong diagnostic performance in early prostate cancer detection. However, methodological heterogeneity and limited standardization restrict generalizability. Large-scale prospective trials are required to validate clinical integration. "
"Using Quantitative Imaging for Personalized Medicine in Pancreatic Cancer: A Review of Radiomics and Deep Learning Applications","https://scispace.com/paper/using-quantitative-imaging-for-personalized-medicine-in-t4v22b19","2022","Journal Article","Cancers","Kiersten Preuss
Nate Thach
Xiaoying Liang
Michael J. Baine
Justin Chen
Chi Zhang
Hui Du
Hongfeng Yu
Chi Lin
Michael A. Hollingsworth
Dandan Zheng","10.3390/cancers14071654","https://scispace.com/pdf/using-quantitative-imaging-for-personalized-medicine-in-t4v22b19.pdf","- **Relevance Score:** 42/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses radiomics and deep learning models with reported AUC, sensitivity, specificity; no genomics data; compares radiomic, deep‑learning, and fusion models within imaging domain.","Simple Summary With a five-year survival rate of only 3% for the majority of patients, pancreatic cancer is a global healthcare challenge. Radiomics and deep learning, two novel quantitative imaging methods that treat medical images as minable data instead of just pictures, have shown promise in advancing personalized management of pancreatic cancer through diagnosing precursor diseases, early detection, accurate diagnosis, and treatment personalization. Radiomics and deep learning methods aim to collect hidden information in medical images that is missed by conventional radiology practices through expanding the data search and comparing information across different patients. Both methods have been studied and applied in pancreatic cancer. In this review, we focus on the current progress of these two methods in pancreatic cancer and provide a comprehensive narrative review on the topic. With better regulation, enhanced workflow, and larger prospective patient datasets, radiomics and deep learning methods could show real hope in the battle against pancreatic cancer through personalized precision medicine. Abstract As the most lethal major cancer, pancreatic cancer is a global healthcare challenge. Personalized medicine utilizing cutting-edge multi-omics data holds potential for major breakthroughs in tackling this critical problem. Radiomics and deep learning, two trendy quantitative imaging methods that take advantage of data science and modern medical imaging, have shown increasing promise in advancing the precision management of pancreatic cancer via diagnosing of precursor diseases, early detection, accurate diagnosis, and treatment personalization and optimization. Radiomics employs manually-crafted features, while deep learning applies computer-generated automatic features. These two methods aim to mine hidden information in medical images that is missed by conventional radiology and gain insights by systematically comparing the quantitative image information across different patients in order to characterize unique imaging phenotypes. Both methods have been studied and applied in various pancreatic cancer clinical applications. In this review, we begin with an introduction to the clinical problems and the technology. After providing technical overviews of the two methods, this review focuses on the current progress of clinical applications in precancerous lesion diagnosis, pancreatic cancer detection and diagnosis, prognosis prediction, treatment stratification, and radiogenomics. The limitations of current studies and methods are discussed, along with future directions. With better standardization and optimization of the workflow from image acquisition to analysis and with larger and especially prospective high-quality datasets, radiomics and deep learning methods could show real hope in the battle against pancreatic cancer through big data-based high-precision personalization."
"Revolutionizing Oncology: AI Driven Approaches to Early Cancer Diagnosis","https://scispace.com/paper/revolutionizing-oncology-ai-driven-approaches-to-early-hefk4xurifde","2025","Journal Article","","S. Ranjithkumar
Ujjwal Asati
Saukhyad Mohole
Yash Tripathi","10.1109/icimia67127.2025.11200652","","- **Relevance Score:** 38/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses AI to boost early detection with reported sensitivity/specificity but lacks explicit AUC values; integrates imaging and genomics data for comprehensive analysis; directly compares AI-driven methods to traditional techniques, providing comparative performance insights.","The early detection of cancer such as ovarian, pancreatic, lung, breast and blood cancers are often left outstanding due to inaccurate traditional methods. This review studies research done to enhance the accuracy of early cancer diagnosis using AI techniques like deep learning, multi-omics data integration, imaging analysis. This report explores case studies based on breast cancer image classification and blood cancer profiling by using integrated genomic data which directly compares traditional cancer detection techniques with AI-driven advanced systems. Early detection and highly improved accuracy are found due to increased specificity and sensitivity thus making the results successful. The study emphasizes multimodal AI approaches for comprehensive analysis which combine a diverse data search. The results demonstrate potential in identifying biomarkers which prove to be an advantage by using the AI technology. These findings make it valuable for healthcare professionals by potentially reducing cancer detection times and increasing accuracy in the procedure in turn potentially reducing diagnostic errors and improving patient outcomes."
"Genomic and Imaging Biomarker Analysis in Lung Cancer: A SHAP-Guided Approach","https://scispace.com/paper/genomic-and-imaging-biomarker-analysis-in-lung-cancer-a-shap-yq8kd5wm88h8","2025","Journal Article","","A. Sathya
Deevna Reddy R
J. Jino Blessy","10.1109/iccds64403.2025.11209732","","- **Relevance Score:** 38/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses AI to classify lung cancer with AUC reported (no sensitivity/specificity). Integrates CT imaging and gene expression, showing synergistic gains. Compares imaging‑only, genomics‑only, and fused models with clear performance tables.","Lung cancer remains the leading cause of cancer-related mortality worldwide, emphasizing the necessity for early and biologically interpretable diagnostic frameworks. Traditional deep learning approaches in imaging and genomics have demonstrated promise; however, their limited interpretability and modality isolation impede clinical adoption. This study presents a multi-modal framework integrating explainable machine learning across genomic and radiological domains to enhance biomarker discovery and classification performance in lung cancer diagnosis. Gene expression data from The Cancer Genome Atlas (TCGA) is utilized to train Random Forest classifiers for predicting key oncogenic mutation statuses, including EGFR, KRAS, and ALK, achieving an accuracy of 93.5%. SHAP-based feature attribution identifies critical genomic markers aligned with established biological pathways in tumor progression and therapy response. Concurrently, thoracic CT scans from the LIDC-IDRI dataset are processed using a convolutional neural network (CNN) augmented with a variational autoencoder (VAE) for synthetic image generation to address data imbalance. Grad-CAM and SHAP techniques validate salient radiomic features, such as nodule morphology, spiculation, and internal texture, ensuring transparent model reasoning. The fusion of genomic and imaging modalities significantly enhances classification performance, achieving an AUC of 96.3%, compared to 91.8% with imaging alone and 89.7% with gene expression alone. Gene set enrichment analysis reveals that the top predictive genes are enriched in clinically relevant pathways, including apoptosis, EGFR signaling, and cell cycle regulation. Ablation studies confirm the complementary value of each modality, underscoring the necessity of holistic approaches in clinical AI. By combining high predictive accuracy with interpretability across data types, the proposed framework advances radiogenomic lung cancer detection while setting a precedent for deploying trustworthy AI systems in precision oncology."
"Early Prediction and Risk Analysis Using Hybrid Deep Learning Techniques in Multimodal Biomedical Image","https://scispace.com/paper/early-prediction-and-risk-analysis-using-hybrid-deep-9mltpuh2vb0w","2025","Journal Article","Developmental Neurobiology","V. Anoop
B. Radhakrishnan
Anoop Balakrishnan Kadan","10.1002/dneu.23001","","- **Relevance Score:** 38/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses hybrid deep learning on MRI/CT for early cancer detection, reports sensitivity and specificity (no AUC). No genomics data integrated. Compares hybrid model to traditional methods, showing superior accuracy.","ABSTRACT Medical imaging plays a pivotal role in diagnosing and treating various health conditions, especially in early‐stage cancer detection. Despite advancements in imaging techniques, the complexity and variability of multimodal medical images, such as MRI and CT scans, pose challenges for accurate diagnosis. Traditional methods often struggle with combining these heterogeneous data sources effectively, limiting the ability to provide timely and precise predictions for early cancer detection. This study proposes a hybrid deep learning framework that integrates multimodal image fusion techniques to improve early cancer prediction. The primary objective of this work is to develop an efficient model that can process diverse medical images, extract meaningful features, and provide accurate classifications for identifying cancerous regions. The techniques employed include Gaussian smoothing for image pre‐processing, feature extraction using ORB (Oriented FAST and Rotated BRIEF) for handcrafted features, and the InceptionV4 network for deep learning‐based feature extraction. The final stage involves classification using Sparse Logistic Regression and the MS‐GWNN classifier, designed to predict the malignancy stage of tumors. The experimental results demonstrate that the proposed approach significantly outperforms traditional methods, achieving a classification accuracy of 93.4%, sensitivity of 91.8%, and specificity of 92.5%. These metrics show superior performance in early detection and risk assessment, especially for high‐risk cancer cases. The model is validated using TCIA dataset and displays robust fusion capabilities, leading to high‐quality and reliable predictions. Future work will explore the integration of additional imaging modalities, real‐time applications for clinical settings, and optimization of fusion strategies. Furthermore, incorporating explainable AI (XAI) can improve the interpretability of the model, enhancing its usability in clinical practice. "
"AI-Assisted Breast Imaging","https://scispace.com/paper/ai-assisted-breast-imaging-1dbmjjz64zr5","2024","Journal Article","","Lulu Wang","10.5772/intechopen.1005912","https://scispace.compdf/ai-assisted-breast-imaging-1dbmjjz64zr5.pdf","- **Relevance Score:** 38/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses DL on ultrasound, mammography, PET/CT with AUC reporting but lacks sensitivity/specificity; no genomics data included; directly compares models to state‑of‑the‑art, showing superior metrics.","Artificial intelligence has the potential to improve breast cancer detection and diagnosis. This study aims to explore the latest advances in artificial intelligence-assisted breast imaging technology, with a particular focus on multimodal imaging. By exploring the potential of artificial intelligence in single and multimodal breast imaging, this study aims to contribute to the ongoing efforts to improve breast cancer detection and diagnosis. This study will analyze how artificial intelligence techniques can effectively improve breast cancer detection and diagnosis using single and multimodal imaging techniques. The challenges and future research directions of artificial intelligence assisted breast imaging will be discussed. "
